symbol,reason
MYCK,ETF
MYCL,ETF
MYCM,ETF
MYCN,ETF
MYCO,ETF
MYHA,ETF
MYHB,ETF
MYHC,ETF
MYHD,ETF
MYHE,ETF
MYMF,ETF
MYMG,ETF
MYMH,ETF
MYMI,ETF
MYMJ,ETF
MYMK,ETF
MYSEW,warrant
MYXXR,right
MYXXU,unit
MYXXW,warrant
MZYX.U,unit
MZYX.WS,warrant
NAMMW,warrant
NAMSW,warrant
NATO,ETF
NBIG,ETF
NBIL,ETF
NBRGR,right
NBRGU,unit
NCIQ,ETF
NCOOU,unit
NCPB,ETF
NCPLW,warrant
NCV.PRA,preferred
NCZ.PRA,preferred
NDAA,ETF
NE.WS,warrant
NE.WSA,warrant
NEE.PRN,preferred
NEE.PRS,preferred
NEE.PRT,preferred
NEE.PRU,preferred
NEE.PRV,preferred
NEE.PRW,preferred
NEMG,ETF
NEOVW,warrant
NETG,ETF
NEWZ,ETF
NEXRW,warrant
NFRX,ETF
NFTY,ETF
NFXL,ETF
NFXS,ETF
NGHT,ETF
NGL.PRB,preferred
NGL.PRC,preferred
NHICU,unit
NHICW,warrant
NHIVU,unit
NHIVW,warrant
NIKL,ETF
NIOBW,warrant
NIOG,ETF
NIVFW,warrant
NIXT,ETF
NLY.PRF,preferred
NLY.PRG,preferred
NLY.PRI,preferred
NLY.PRJ,preferred
NMPAR,right
NMPAU,unit
NOEMR,right
NOEMU,unit
NOEMW,warrant
NOVTU,unit
NOWL,ETF
NPACU,unit
NPACW,warrant
NPFI,ETF
NPWR.WS,warrant
NREF.PRA,preferred
NRES,ETF
NRSNW,warrant
NSI,ETF
NTAL,ETF
NTRBW,warrant
NTWOU,unit
NTWOW,warrant
NUAIW,warrant
NUCLW,warrant
NUG,ETF
NUGY,ETF
NUIF,ETF
NUSB,ETF
NVA.WS,warrant
NVD,ETF
NVDD,ETF
NVDG,ETF
NVDL,ETF
NVDS,ETF
NVDU,ETF
NVNIW,warrant
NVPS,ETF
NVYY,ETF
NWAX.U,unit
NWAX.WS,warrant
NXDT.PRA,preferred
NXGLW,warrant
NXTG,ETF
NZAC,ETF
OABIW,warrant
OACCU,unit
OACCW,warrant
OAK.PRA,preferred
OAK.PRB,preferred
OBAWU,unit
OBAWW,warrant
OBIL,ETF
OBTC,ETF
OCAC.U,unit
OCSAW,warrant
ODDS,ETF
ODTE,ETF
OHACR,right
OHACU,unit
OIMAU,unit
OIMAW,warrant
OIOWW,warrant
OKLL,ETF
OKTG,ETF
ONCHU,unit
ONCHW,warrant
ONDG,ETF
ONEQ,ETF
ONFOW,warrant
ONMDW,warrant
OPEG,ETF
OPENW,warrant
OPP.PRA,preferred
OPP.PRB,preferred
OPPJ,ETF
OPTXW,warrant
OPTZ,ETF
ORBX,ETF
ORCL.PRD,preferred
ORCS,ETF
ORCU,ETF
ORCX,ETF
ORIQU,unit
ORIQW,warrant
ORR,ETF
OSCX,ETF
OSPRU,unit
OSRHW,warrant
OTAI.RT,right
OTAI.U,unit
OTGAU,unit
OTGAW,warrant
OTGL,ETF
OXBRW,warrant
OXY.WS,warrant
OYSER,right
OYSEU,unit
OZEM,ETF
PAACU,unit
PAACW,warrant
PABD,ETF
PABU,ETF
PACHU,unit
PACHW,warrant
PAII.U,unit
PAII.WS,warrant
PALD,ETF
PALOU,unit
PALOW,warrant
PALU,ETF
PANG,ETF
PATN,ETF
PBEU,ETF
PBI.PRB,preferred
PBMWW,warrant
PBOG,ETF
PBPH,ETF
PBQQ,ETF
PBRG,ETF
PBSC,ETF
PCAPU,unit
PCAPW,warrant
PCMM,ETF
PCPI,ETF
PCTTU,unit
PCTTW,warrant
PDBA,ETF
PDBC,ETF
PDDL,ETF
PDP,ETF
PDYNW,warrant
PEB.PRE,preferred
PEB.PRF,preferred
PEB.PRG,preferred
PEB.PRH,preferred
PECER,right
PECEU,unit
PECEW,warrant
PEPS,ETF
PEW.WS,warrant
PEY,ETF
PEZ,ETF
PFDE,ETF
PFF,ETF
PFI,ETF
PFM,ETF
PFOE,ETF
PGACR,right
PGACU,unit
PGJ,ETF
PGYWW,warrant
PHO,ETF
PID,ETF
PIE,ETF
PIIIW,warrant
PINE.PRA,preferred
PIO,ETF
PIZ,ETF
PKW,ETF
PLA,ETF
PLCIU,unit
PLMKU,unit
PLMKW,warrant
PLTD,ETF
PLTG,ETF
PLTU,ETF
PLTZ,ETF
PLUL,ETF
PLUN.RT,right
PLUN.U,unit
PLYY,ETF
PMBS,ETF
PMMF,ETF
PMT.PRA,preferred
PMT.PRB,preferred
PMT.PRC,preferred
PMTRU,unit
PMTRW,warrant
PNFP.PRA,preferred
PNFP.PRB,preferred
PNFP.PRC,preferred
PNQI,ETF
POLEU,unit
POLEW,warrant
PONOR,right
PONOU,unit
PPH,ETF
PPI,ETF
PQAP,ETF
PQJA,ETF
PQJL,ETF
PQOC,ETF
PRCS,ETF
PRENW,warrant
PRFZ,ETF
PRIF.PRD,preferred
PRIF.PRK,preferred
PRIF.PRL,preferred
PRMR,ETF
PRN,ETF
PRVS,ETF
PSA.PRF,preferred
PSA.PRG,preferred
PSA.PRH,preferred
PSA.PRI,preferred
PSA.PRJ,preferred
PSA.PRK,preferred
PSA.PRL,preferred
PSA.PRM,preferred
PSA.PRN,preferred
PSA.PRO,preferred
PSA.PRP,preferred
PSA.PRQ,preferred
PSA.PRR,preferred
PSA.PRS,preferred
PSA.PRT,preferred
PSA.PRU,preferred
PSC,ETF
PSCC,ETF
PSCD,ETF
PSCE,ETF
PSCF,ETF
PSCH,ETF
PSCI,ETF
PSCM,ETF
PSCT,ETF
PSCU,ETF
PSEC.PRA,preferred
PSET,ETF
PSL,ETF
PSNYW,warrant
PSQH.WS,warrant
PSTR,ETF
PSWD,ETF
PTACU,unit
PTACW,warrant
PTF,ETF
PTH,ETF
PTIR,ETF
PTNQ,ETF
PTORU,unit
PTORW,warrant
PUI,ETF
PUL,ETF
PUR,ETF
PWRD,ETF
PXI,ETF
PY,ETF
PYPG,ETF
PYZ,ETF
QABA,ETF
QADRU,unit
QADRW,warrant
QALT,ETF
QAT,ETF
QB,ETF
QBIG,ETF
QBTZ,ETF
QBUF,ETF
QBY,ETF
QCLN,ETF
QCLR,ETF
QCMD,ETF
QCML,ETF
QCMU,ETF
QDTY,ETF
QETAR,right
QETAU,unit
QEW,ETF
QFF,ETF
QGRD,ETF
QLDY,ETF
QLEP.WS,warrant
QMID,ETF
QMOM,ETF
QNDX,ETF
QNXT,ETF
QOWZ,ETF
QPUX,ETF
QQA,ETF
QQDN,ETF
QQEW,ETF
QQHG,ETF
QQLV,ETF
QQMG,ETF
QQQ,ETF
QQQA,ETF
QQQE,ETF
QQQG,ETF
QQQH,ETF
QQQI,ETF
QQQJ,ETF
QQQM,ETF
QQQP,ETF
QQQS,ETF
QQQT,ETF
QQQY,ETF
QQUP,ETF
QQWZ,ETF
QQXL,ETF
QQXT,ETF
QRED.RT,right
QRED.U,unit
QRMI,ETF
QSEAR,right
QSEAU,unit
QSIX,ETF
QSML,ETF
QTEC,ETF
QTOP,ETF
QTR,ETF
QTUM,ETF
QUMSR,right
QUMSU,unit
QVAL,ETF
QVOL,ETF
QXO.PRB,preferred
QXQ,ETF
QYLD,ETF
QYLG,ETF
RAA,ETF
RAC.U,unit
RAC.WS,warrant
RAINW,warrant
RANGR,right
RANGU,unit
RAUS,ETF
RBIL,ETF
RC.PRC,preferred
RC.PRE,preferred
RCAX,ETF
RCGE,ETF
RCKTW,warrant
RDACR,right
RDACU,unit
RDAGU,unit
RDAGW,warrant
RDTL,ETF
RDTY,ETF
RDVY,ETF
RDZNW,warrant
REAI,ETF
REIT,ETF
REMG,ETF
REXC,ETF
REXR.PRB,preferred
REXR.PRC,preferred
REZI.WI,when-issued
RF.PRC,preferred
RF.PRE,preferred
RF.PRF,preferred
RFAIR,right
RFAIU,unit
RFAMR,right
RFAMU,unit
RFDI,ETF
RFEM,ETF
RGLO,ETF
RGTIW,warrant
RGTX,ETF
RGTZ,ETF
RGYY,ETF
RIBBR,right
RIBBU,unit
RIFR,ETF
RING,ETF
RINT,ETF
RITM.PRA,preferred
RITM.PRB,preferred
RITM.PRC,preferred
RITM.PRD,preferred
RITM.PRE,preferred
RITM.PRF,preferred
RIV.PRA,preferred
RKLX,ETF
RKLZ,ETF
RKNG,ETF
RLJ.PRA,preferred
RMCOW,warrant
RMSGW,warrant
RNEM,ETF
RNGTU,unit
RNGTW,warrant
RNIN,ETF
RNR.PRF,preferred
RNR.PRG,preferred
RNRG,ETF
RNWWW,warrant
ROBT,ETF
ROCQ,ETF
ROCY,ETF
ROE,ETF
RONB,ETF
RPT.PRC,preferred
RREVU,unit
RREVW,warrant
RTACU,unit
RTACW,warrant
RTH,ETF
RTXG,ETF
RTYY,ETF
RUMBW,warrant
RUNN,ETF
RUSC,ETF
RVMDW,warrant
RVNL,ETF
RVSNW,warrant
RWIN,ETF
RWT.PRA,preferred
RZLVW,warrant
SAAQU,unit
SAAQW,warrant
SABSW,warrant
SAC.U,unit
SAC.WS,warrant
SAGU.RT,right
SAGU.U,unit
SAGU.WS,warrant
SAIHW,warrant
SAMO.U,unit
SARK,ETF
SATLW,warrant
SB.PRC,preferred
SB.PRD,preferred
SBCWW,warrant
SBFMW,warrant
SBXD.U,unit
SBXD.WS,warrant
SBXE.U,unit
SBXE.WS,warrant
SCA,ETF
SCAGW,warrant
SCCD,ETF
SCCE,ETF
SCDS,ETF
SCE.PRG,preferred
SCE.PRL,preferred
SCE.PRM,preferred
SCE.PRN,preferred
SCHW.PRD,preferred
SCHW.PRJ,preferred
SCIIR,right
SCIIU,unit
SCLXW,warrant
SCPQU,unit
SCPQW,warrant
SCZ,ETF
SDAWW,warrant
SDG,ETF
SDHIR,right
SDHIU,unit
SDSI,ETF
SDSTW,warrant
SDTY,ETF
SDVY,ETF
SEAL.PRA,preferred
SEAL.PRB,preferred
SEATW,warrant
SEEM,ETF
SEIE,ETF
SEIS,ETF
SEMY,ETF
SES.WS,warrant
SETM,ETF
SF.PRB,preferred
SF.PRC,preferred
SF.PRD,preferred
SFLO,ETF
SGOV,ETF
SGVA,ETF
SHFSW,warrant
SHMDW,warrant
SHO.PRH,preferred
SHO.PRI,preferred
SHOC,ETF
SHOTR,right
SHOTU,unit
SHPU,ETF
SHRY,ETF
SHV,ETF
SHY,ETF
SIMAU,unit
SIMAW,warrant
SJCP,ETF
SJLD,ETF
SKOR,ETF
SKRE,ETF
SKYAW,warrant
SKYH.WS,warrant
SKYU,ETF
SKYY,ETF
SLDPW,warrant
SLG.PRI,preferred
SLND.WS,warrant
SLNZ,ETF
SLQD,ETF
SLVO,ETF
SLVR,ETF
SLXNW,warrant
SMCF,ETF
SMCL,ETF
SMCO,ETF
SMCX,ETF
SMCZ,ETF
SMH,ETF
SMHC,ETF
SMHX,ETF
SMOM,ETF
SMRI,ETF
SMST,ETF
SMXWW,warrant
SMYY,ETF
SNAG,ETF
SNSR,ETF
SOCAU,unit
SOCAW,warrant
SOCL,ETF
SOFA,ETF
SOFX,ETF
SOLC,ETF
SOLT,ETF
SOLZ,ETF
SORNU,unit
SORNW,warrant
SOUL.RT,right
SOUL.U,unit
SOUNW,warrant
SOUX,ETF
SOXQ,ETF
SOXX,ETF
SPAM,ETF
SPAQ,ETF
SPBC,ETF
SPCK,ETF
SPCT,ETF
SPE.PRC,preferred
SPEGR,right
SPEGU,unit
SPG.PRJ,preferred
SPIT,ETF
SPKLU,unit
SPKLW,warrant
SPOG,ETF
SPRX,ETF
SPWRW,warrant
SPXD,ETF
SPYQ,ETF
SQFTW,warrant
SQLV,ETF
SQQQ,ETF
SQS,ETF
SRET,ETF
SRG.PRA,preferred
SRZNW,warrant
SSACR,right
SSACU,unit
SSACW,warrant
SSEAR,right
SSEAU,unit
SSS,ETF
STNC,ETF
STT.PRG,preferred
STXD,ETF
STXE,ETF
STXG,ETF
STXK,ETF
STXT,ETF
STXV,ETF
SUIS,ETF
SUMAR,right
SUMAU,unit
SUPP,ETF
SUSB,ETF
SUSC,ETF
SUSL,ETF
SVAQU,unit
SVAQW,warrant
SVCCU,unit
SVCCW,warrant
SVIVU,unit
SVIVW,warrant
SVREW,warrant
SWAGW,warrant
SWP,ETF
SWVLW,warrant
SWZ,ETF
SXTPW,warrant
SYF.PRA,preferred
SYF.PRB,preferred
SYZ,ETF
SZZLR,right
SZZLU,unit
T.PRA,preferred
T.PRC,preferred
TACHU,unit
TACHW,warrant
TACOU,unit
TACOW,warrant
TAOZ,ETF
TARK,ETF
TAVIR,right
TAVIU,unit
TAX,ETF
TAXE,ETF
TAXI,ETF
TAXS,ETF
TAXT,ETF
TBIL,ETF
TBLU,ETF
TCAI,ETF
TCAN,ETF
TCHI,ETF
TDACU,unit
TDACW,warrant
TDCL,ETF
TDI,ETF
TDIV,ETF
TDOG,ETF
TDOT,ETF
TDS.PRU,preferred
TDS.PRV,preferred
TDSB,ETF
TDSC,ETF
TDWDR,right
TDWDU,unit
TECY,ETF
TEKX,ETF
TEKY,ETF
TEN.PRE,preferred
TEN.PRF,preferred
TERG,ETF
TEXN,ETF
TEXX,ETF
TFC.PRI,preferred
TFC.PRO,preferred
TFC.PRR,preferred
TFGZ,ETF
TFIN.PR,preferred
TFNS,ETF
TGE.WS,warrant
THIR,ETF
THLV,ETF
THMR,ETF
THMZ,ETF
THRV,ETF
THYM,ETF
TILC,ETF
TISC,ETF
TKNS,ETF
TLA,ETF
TLG,ETF
TLNCU,unit
TLNCW,warrant
TLSIW,warrant
TLT,ETF
TMB,ETF
TMCWW,warrant
TMED,ETF
TMNL,ETF
TMNS,ETF
TMSF,ETF
TMSWW,warrant
TMTSU,unit
TMTSW,warrant
TMYY,ETF
TNGY,ETF
TNONW,warrant
TNXT,ETF
TOIIW,warrant
TONT.U,unit
TONT.WS,warrant
TPLS,ETF
TPYP,ETF
TPZ,ETF
TQQQ,ETF
TQQY,ETF
TRAD.RT,right
TRAD.U,unit
TRBF,ETF
TRGSR,right
TRGSU,unit
TRTN.PRA,preferred
TRTN.PRB,preferred
TRTN.PRC,preferred
TRTN.PRD,preferred
TRTN.PRE,preferred
TRTN.PRF,preferred
TRTN.PRG,preferred
TRTX.PRC,preferred
TRUC,ETF
TRUD,ETF
TRUF,ETF
TRUH,ETF
TRUI,ETF
TRUM,ETF
TRUN,ETF
TRUO,ETF
TRUR,ETF
TRUT,ETF
TRUU,ETF
TSCM,ETF
TSDD,ETF
TSEL,ETF
TSL,ETF
TSLG,ETF
TSLL,ETF
TSLQ,ETF
TSLR,ETF
TSLS,ETF
TSMG,ETF
TSMU,ETF
TSMX,ETF
TSMZ,ETF
TSPY,ETF
TSUI,ETF
TSYX,ETF
TSYY,ETF
TTEQ,ETF
TUG,ETF
TUGN,ETF
TUR,ETF
TURF,ETF
TVACU,unit
TVACW,warrant
TVAIR,right
TVAIU,unit
TVGNW,warrant
TVIVU,unit
TVIVW,warrant
TWLVR,right
TWLVU,unit
TWO.PRA,preferred
TWO.PRB,preferred
TWO.PRC,preferred
TXUE,ETF
TXUG,ETF
TXXD,ETF
TXXH,ETF
TXXS,ETF
TY.PR,preferred
UAC.U,unit
UAC.WS,warrant
UAE,ETF
UBND,ETF
UBRL,ETF
UCFIW,warrant
UCRD,ETF
UCYB,ETF
UECG,ETF
UEVM,ETF
UFIV,ETF
UFO,ETF
UITB,ETF
UIVM,ETF
ULTI,ETF
ULVM,ETF
UMH.PRD,preferred
UMMA,ETF
UNHG,ETF
UNIY,ETF
UPGR,ETF
URNJ,ETF
USAF,ETF
USB.PRA,preferred
USB.PRH,preferred
USB.PRP,preferred
USB.PRQ,preferred
USB.PRR,preferred
USB.PRS,preferred
USCL,ETF
USDEW,warrant
USDX,ETF
USFI,ETF
USGG,ETF
USIG,ETF
USIN,ETF
USMC,ETF
USOI,ETF
USOY,ETF
USSH,ETF
USTB,ETF
USVM,ETF
USVN,ETF
USXF,ETF
UTEN,ETF
UTHY,ETF
UTRE,ETF
UTWO,ETF
UTWY,ETF
UUUG,ETF
UYLD,ETF
UYSCR,right
UYSCU,unit
VACI.U,unit
VACI.WS,warrant
VAL.WS,warrant
VALG,ETF
VAVX,ETF
VBCA,ETF
VBCB,ETF
VBCC,ETF
VBCD,ETF
VBCE,ETF
VBCF,ETF
VBCG,ETF
VBCH,ETF
VBCI,ETF
VBCJ,ETF
VBIL,ETF
VBNB,ETF
VCIT,ETF
VCLT,ETF
VCRB,ETF
VCSH,ETF
VECA.RT,right
VECA.U,unit
VEEAW,warrant
VEFA,ETF
VFLO,ETF
VFSWW,warrant
VGASW,warrant
VGIT,ETF
VGLT,ETF
VGSH,ETF
VGSR,ETF
VGUS,ETF
VHCPU,unit
VHCPW,warrant
VIGI,ETF
VII.U,unit
VII.WS,warrant
VLOSU,unit
VLOSW,warrant
VMBS,ETF
VNMEU,unit
VNMEW,warrant
VNO.PRL,preferred
VNO.PRM,preferred
VNO.PRN,preferred
VNO.PRO,preferred
VNQI,ETF
VOLT,ETF
VONE,ETF
VONG,ETF
VONV,ETF
VOTE,ETF
VOYA.PRB,preferred
VPLS,ETF
VRIG,ETF
VRTL,ETF
VRXAW,warrant
VSDA,ETF
VSECU,unit
VSEEW,warrant
VSMV,ETF
VSOL,ETF
VSTL,ETF
VTC,ETF
VTHR,ETF
VTIP,ETF
VTWG,ETF
VTWO,ETF
VTWV,ETF
VWAVW,warrant
VWOB,ETF
VXUS,ETF
VYMI,ETF
WABF,ETF
WAL.PRA,preferred
WALDW,warrant
WAMA,ETF
WARP,ETF
WBIY,ETF
WBS.PRF,preferred
WBS.PRG,preferred
WCBR,ETF
WCLD,ETF
WDAF,ETF
WDGF,ETF
WEEI,ETF
WENC.RT,right
WENC.U,unit
WENNU,unit
WENNW,warrant
WFC.PRA,preferred
WFC.PRC,preferred
WFC.PRD,preferred
WFC.PRL,preferred
WFC.PRY,preferred
WFC.PRZ,preferred
WGMI,ETF
WHR.PRA,preferred
WIMA,ETF
WINN,ETF
WISE,ETF
WLCOU,unit
WLDSW,warrant
WLIIU,unit
WLIIW,warrant
WLTG,ETF
WOOD,ETF
WPAC.RT,right
WPAC.U,unit
WRB.PRE,preferred
WRB.PRF,preferred
WRB.PRG,preferred
WRB.PRH,preferred
WRND,ETF
WRTH,ETF
WSGE,ETF
WSML,ETF
WSPC,ETF
WSTNR,right
WSTNU,unit
WTBN,ETF
WTGUR,right
WTGUU,unit
WTIP,ETF
WTMU,ETF
WTMY,ETF
XAIX,ETF
XBCI,ETF
XBIL,ETF
XBPEW,warrant
XBTY,ETF
XCBEU,unit
XCBEW,warrant
XCNY,ETF
XDEF,ETF
XEY,ETF
XFLH.RT,right
XFLH.U,unit
XMAG,ETF
XOMX,ETF
XOSWW,warrant
XOVR,ETF
XPEG,ETF
XQQI,ETF
XRN.PRA,preferred
XRN.PRB,preferred
XRPC,ETF
XRPI,ETF
XRPNU,unit
XRPNW,warrant
XRPT,ETF
XRXDW,warrant
XSLLU,unit
XSLLW,warrant
XSPC,ETF
XSPI,ETF
XT,ETF
XXX,ETF
XYZG,ETF
YBMN,ETF
YBST,ETF
YBTY,ETF
YCY.U,unit
YCY.WS,warrant
YDESW,warrant
YHNAR,right
YHNAU,unit
YICCU,unit
YICCW,warrant
YLDE,ETF
YNOT,ETF
YOKE,ETF
YQQQ,ETF
YSAG,ETF
YSAU,ETF
YSPY,ETF
ZAP,ETF
ZEOWW,warrant
ZHOG,ETF
ZMUN,ETF
ZOOZW,warrant
ZTEN,ETF
ZTOP,ETF
ZTRE,ETF
ZTWO,ETF
